Reviews,Ratings,Dates,Website
"Went last night with a table of 14 for a birthday party. Service was decent and we enjoyed the atmosphere. We also sat at their U shaped table which was pretty cool, we could walk to the middle and talk to each other without being in the way of other customers or servers. The food on the other hand, not so great. I ordered the three course meal for $32 and picked the mushroom soup w/truffle oil, 7 Oz sirloin with the apple pie for dessert. Those of us that got the soup all agreed that it was bland. I was trying to play it safe by asking for my steak to be cooked rare but my steak came out medium. The apple pie crust was delicious but I found the apples in the pie a bit sour for my liking. My girlfriend had the Caesar salad, salmon for main and brownie for dessert. The salmon  was surprisingly moist and the skin was nice and crispy, definitely a good choice. Although she loves chocolate... she couldn't finish her brownie cuz it was too sweet. I wouldn't recommend eating there but nice place to just grab drinks and hang out with friends.",3.0,2017-03-19,Yelp
"Just arrived in to Toronto this evening for one night. Not sure what to eat so I took a walk since i was sitting down for the last 8 hours. Using my Yelp app I came across Reds. Lots of choices in the area. Can only say I made the right choice. Great decor, lighting, music in the background and great staff. See below. As a self proclaimed Margarita snob it's not often I have a Margarita worth recommending. Kudos to Adaina for a great drink. I went for a light meal, the Lobstah Guacamole appetizer with a double on the Guac!  Make time to visit Reds when in Toronto.Adaina Bar Manager Greg Bartender",4.0,2016-11-15,Yelp
"The steak dinner was awesome! We got a chipotle steak that was part of $32 prix fixe menu.The place was busy even during the week on a rainy day, so better make reservations.Ambiance and service were both great, wouldn't change a thing.",5.0,2016-11-06,Yelp
"The atmosphere is really nice for an affordable restaurant. The chicken tacos dish was smaller than you would think (it was cheap though), but it was decently filling with the loaded baked potato and was pretty tasty. Service was efficient and not intrusive either. This is actually a pretty great chain restaurant in terms of the food and atmosphere.",4.0,2016-09-11,Yelp
"Really great atmosphere, good service, mediocre food. I was here with some co-workers for lunch today, and the cool rustic decor (check out the chandelier made out of wine bottles and glasses!) and friendly hostess/servers gave me high hopes that the food would be just as great. Sadly, that was not the case. The five of us shared the steamed edamame and tavern butcher board. Both appetizers were good, but nothing too memorable. I ordered the Oscar Sirloin for my entree because it sounded amazing (steak topped with lobster, crab & shrimp, sauteed in tabasco butter, hollandaise sauce and chives), but it was pretty underwhelming. I had asked for it medium rare, and it was more on the medium well side, and a little too charred for my liking. The seafood that came with it wasn't very fresh and tasted inconsistent (some bites were really salty and fishy, others weren't). The side of mash potatoes were decent and tasted pretty good with the hollandaise. The tabasco butter gave everything a bit of a spicy kick. Definitely won't be rushing back for their food, but it seems like a fun place to catch up with friends over drinks and apps!",3.0,2015-11-05,Yelp
"Who is the chef, really? I had an excellent dish of Butter Chicken Bowl. It comes with naan bread and basmati rice. My fiancé loved his Chicken Tacos and baked potato side, as well. The atmosphere is casual and comfortable with nice decor. There is a large variety of food and drink options, ranging from salads, sandwiches, chicken, steak and fish. The prices seem reasonable. The wait staff are professional. It seems like a great place to meet up with friends for food or drinks; or watch some games on TV or hang out with your special someone. Awesome vibe, I'd eat here again.",4.0,2016-09-10,Yelp
"Simply Amazing! First the service; food and ambience is perfect. We took our aunt for her Bday and she loved it too. First time to Toronto and they def made our experience great! Cheers to Nicole for being a great waiter, Mike did great too he was training with her. Kudos!",5.0,2016-10-30,Yelp
We visited Toronto for a baseball game in the summer of 2016. A friend recommended Reds to us and we were so pleased. The food was fantastic- I had the roasted pork tenderloin. I never eat pork when I'm out because it is often too dry. This pork loin was prepared perfectly! Our server was wonderful. We plan on returning on our next trip to Toronto!,5.0,2017-01-13,Yelp
"Living in the area, I would consistently walk by this place on a daily basis, and would always admire their patio :p So, for my birthday, I decided to dine here. Ps- i give it a 4.5!Got a nice, cushioned patio seat, with a huge umbrella to protect from any rain/sun, and a barrier of flowers and plants to provide some privacy from people walking by on the street.  Decided to opt out of getting an app, solely because I wanted to enjoy my main, and I knew I'd be getting dessert on the house, which obviously I wanted to save room for  First we got our drinks, I ordered a maple bacon bourbon; a lot stronger than I anticipated!  Cost $12. For mains, I ordered the pork tenderloin with gnocchi, and my boyfriend chose a peppercorn steak with a side of mashed potatoes.  We also split a tiny side of fries. We waited a reasonable amount of time for our food to come, nothing below or above average. The quantity of food for me was perfect. Just enough so I could finish it all and not be left overly full! I should warn tou though, I do not have the worlds biggest appetite,  so if you think of yourself as being a big eater, consider ordering an app on top of your meal.In terms of taste, I really didn't have anything to complain about! The pork was cooked perfectly: nice and tender, not dried out AT ALL! The gnocchi were a little al dente, but I don't mind my pasta being on the harder side. The pasta could've used a liiitttllee more sauce, but no biggy.The flourless cake went above my expectations!  It came with cashews, a banana and chocolate mousse, and they even wrote ""happy birthday "" in chocolate sauce on the plate they served it to me on!  It was enough for us to share after the meals we just consumed!Through getting the dessert for free, ended up spending about $60 for both of us before tip. Not too shaby considering we went out with the intention of having a classier/pricier meal. If you're looking for a place to go out to celebrate a bit more of a special occasion,  I would recommend giving Red's a shot. The ambiance of the place is quite nice (makes you feel like a fancy person for dining there haha), and their menu offers quite a variety of choices,  so you can't really go wrong! :)",4.0,2015-09-04,Yelp
Delicious food - horrible service. Waitress looked like she was new or maybe just started but that's not an excuse for not listening to anything we tried to ask her or correct what she got wrong.,3.0,2017-01-08,Yelp
This place is large and has a classy feel. Great for a glass of wine or cocktail.Terrible if you are a vegetarian. No vegetarian main option. A few appetizers are vegetarian (maybe two or three). I do not recommend this place for dinner if there is a vegetarian in your group.,3.0,2016-01-24,Yelp
"Cute place for drinks and apps. We stopped in here for the lobster guacamole, mussels and some wine. They have a large bar and played really good music.Fun little place. Good pricing.",3.0,2015-10-14,Yelp
"Walked in when looking for a drink special on a VERY cold Wednesday night. The bartender was so friendly and took pity on a Florida girl experiencing -2 temperatures. I didn't get anything to eat, but loved the $5 (Canadian money) beer. The real treat here is the ""make your own gin and tonic"". OMG. I chose my gin, a nice light tonic and was able to put my own accoutrements in (juniper berries, orange peels, etc). TOTALLY worth the $11. The bathrooms were impeccably clean and very pretty (strange for a bar). The decor in general, was great. Loved the friendly atmosphere!",5.0,2015-02-24,Yelp
"We went twice during our short trip to Toronto and had a great meal both times - unique, creative dishes, but not too avant-garde, sort of innovative approaches to the classics.  Both my son and I were totally pleased with everything we got, from drinks to dessert.",5.0,2017-01-23,Yelp
"This place looks and seems like a pretty cool bar, but for meals... this place blows.We got seated and got menus, but after 15 minutes had to wave down a bartender walking by just to get waters. Then we had to get up and ask someone if we had a waiter to take our meal order..When the food finally got to us, it was boring and basic blah food.. and we were STARVING.I feel like this is the type of place that if I told someone from Toronto I ate there, they would say ""What? they serve food there?  I thought it was a bar/lounge""",2.0,2016-03-03,Yelp
I just love this place. When I'm in Toronto a visit is a must. Naturally the music is too loud to have a good conversation - but the place is just 'full of life'. I like the barkeeper brining out the ordered beer personally - and also the Somalier if you order wine. The food is really good - I like the shareables very much. Today I  just had mussels with some fries (as a side) - just delicious.,4.0,2015-08-15,Yelp
"Five stars for this place might be a bit excessive,  but here are my excuses....I came during Summerlicious at lunch with a large group (please let all those words sink in for a moment) and....1. Not only did the food not seem like a scant, bland version of some better menu, it was delicious and generous. The quinoa salad was superb, but better than that was the fried chicken, which unlike all fried chicken in Toronto, was not too salty, greasy, and overdone. Everyone at my table thoroughly enjoyed their lunch, which is damn hard to do with a big group.2. The service was excellent. Sure, a big restaurant that has large tables should know how to serve groups, maybe. Here, they actually do. The climactic moment of all group service- bringing and splitting the bill- went off without a hitch. The servers acted as if it were perfectly normal and easy to split a cheque. Imagine that!Hats off to Reds for a great lunch.",5.0,2015-07-27,Yelp
"Passed by this place many times.  Decided tonight was the night.  The place is very nicely set up - open concept very large TV screens and great decor.   Music was good also, not too loud just enough to not hear the people next to you.  Good beer selection (ok that's important to me!). I started with the Crab Chowder - it was delicious!  Followed that up with that butter chicken bowl- it was good - had some kick.  Overall nice place and good food and beer/drink selection in a nice setting",4.0,2016-01-18,Yelp
"I went to this restaurant for the Summerlicious 3 course $23 Lunch special with some friends. This was a recently built restaurant so everything looked new and gorgeous with a lot of industrial themed decorations which is a current trend. We made a reservation but it wasn't necessary as there was plenty of seats when we got there in the afternoon.Since there were three of us, we ordered and shared everything from the Summerlicious Menu:Appetizer: Quinoa, Summer Mixed Berry Salad, Shrimp Gazpacho SaladEntree: Roast California Striploin, Pan Seared Trout, Middle Eastern Fried ChickenDessert: Strawberry and Gin Parfait, Chili Chocolate Pot de Crème, Peach CrumbleFor the Appetizer, the berry salad was the winner. The whole salad had a berry scent with slight sweet taste and surprisingly, not too tart. The creamy goat cheese made the dish. It went well with the greens and sprinkle of berries.The Quinoa dish was light and fresh. The quinoa itself was neutral but the salty bitterness of the cheese and sweet apple balanced nicely. The salad also had some pickled onions, providing sour taste and the salad had some spiciness as well.The Shrimp gazpacho was light watery and refereshing for the summer season. The sour sweetness of the vinaigrette sauce in the cup provided a spash of flavour.For entree, the trout and sirloin were both good.The trout was crispy and well seasoned. The skin especially was deliciously crunchy and slightly saltier. It was served how on a bed of lentils. There was a slight sourness from the vinigarett on the beets and matched the creaminess of the avacado. The lentils were not that good however. it was quite chewy having its own separate flavour that didn't match the rest of the dish.The sirloin was juicy, soft, creamy and was light red in the center. It was served hot on a bed of potatoes with sauce. It was exactly what I expect when I think of a steak meal. It is like a hardy english meal. The squash squash matches the creaminess of the meat but lighter and made me think of gravy. This was better than the trout. Visually, the chicken dish was disappointing. It looked like there was more salad than meat. The chicken breast strips were spicy, slightly juicy but not too salty. You can tell that it is not a typical piece of fried chicken. oil spice was drizzled on to the chicken and the salad. The salad that came with this was too sour for my tastes, especially the beets. The chick pea croutons gave a nice crunch to the salad.    For the dessert, the parfait stood out the most. All the dessert had a similar mason jar presentation but not all of them were done well. About the parfait, you could taste the rose water in the whole dessert. The lady finger by itself was sweet but dipped in the parfait made it even sweeter yet, it was not too much for me. The taste reminded me of strawberry shortcake.The chocolate pot was not what I had expected. This pudding had chili flakes that were hard to notice although there, and the whole dish was pretty salty and full of bitter coffee taste. The peach crumble did not have much crumble at all and was pretty soggy. The ice cream was half melted when it arrived because it took so long to get to us. The service was good. The hostess let us choose a seat we preferred and the server gave us sharing plates when we noted that we wanted to try everything on the menu (that doesn't happen often). All the servings came at the same time. The server was available and came to chat about the dishes occasionally. The dessert however took a very long time to get to the table. When looking to get the bill, our server was busy with another customer also doing the same and took a while to get to us.",3.0,2016-03-05,Yelp
"Interesting menu. It's a little bit of everything in an almost exotic far away land kind of way. Indian inspired, Thai inspired, seafood inspired dishes. I'll be honest it's not my foodie palette first choice but I'm happy I tried them out anyway. I really enjoyed my experience there overall. I interacted with 5 staff throughout my lunch and they were all very lovely to speak and engage with; from the hostess, to server, to serving staff to the manager. I had the seafood chowder which was delicious, the smoky bacon added a nice touch to the seafood. I had their Cheeseburger which I added the smoked bacon, combined with their horseradish secret sauce it was an unbelievably amazingly juicy delicious burger. I couldn't finish my salad that came with it. Plus a soda. $29 + $4 for tip. I consider their prices slightly above average but considering the quality of food and quantity and overall experience it was worth it. The atmosphere is elegant. The exposed brick, leather back chairs and wooden chairs combined with the industrial lighting and drapes was perfectly balanced. The music was not too loud. Bathrooms are upstairs.So I was checking out all three restaurants; Red's, Scaddabush and Duke's (all owned by the same company) to decide on my vote for a Christmas lunch with my colleagues. I had a not so good experience at Scaddabush (see that review) the hostess at Red's asked me to come back to let her know my decision after trying all three. I want to include my experience to let you know how awesome Red's is...I popped in to let her know and she was disappointed by my story (about Scaddabush) and let me know the general manager was there. I spoke with the general manager and relayed my story. She quickly apologized and offered me lunch since I didn't get one. I kindly thanked her for that but stated I had to get back to the office as the service next door was also slow. I asked that she relay to all the staff at Red's that what they are doing there is great and to keep up the great work. They will be my number 1 choice. Christmas lunch or no Christmas lunch.",5.0,2014-12-08,Yelp
"I've been here a couple of times for drinks and appetizers in the bar area.  The location is large, yet feels intimate.  The decor has a very rustic feeling.  I've tried the burgers which were very juicy.  The potato bread was good, but a bit too much balsamic for me.  The edamame was good, but it's pretty hard to screw that up.  And the Yucatan crevice was excellent.  The lobster guacamole was only okay, not work the price in my opinion.  Good atmosphere.  Good wine selection.  Friendly and attentive service. Would come back.",4.0,2014-11-16,Yelp
"The problem with bar/restaurant hybrids downtown has always been the scale of extremes. Its either comfortably on one side of the scale, in the cheap student / sports bar / terrible food / so loud you have to yell or its on the completely opposite side, the uncomfortably full of Bay St. suits / expensive amazing food / good luck getting service if you're there for dinner side. Reds Midtown Tavern sits perfectly in the middle of this scale and it glorious.Made a reservation for an annual get together of old friends, never having gone before I was depending completely on a friends' recommendation and he was not wrong (he never is), the place is fantastic. We sat in the area to the left of the bar (which I think is the lounge but I may be wrong) with the nice comfortable leather high-back chairs, had food and drinks for about five hours and it is now my new favourite place. The location is good, close to subway and the downtown in general. The staff is super friendly and more than happy to recommend dishes which where right on point. Reds Midtown is comfortable without being a pub yet has food as good if not better than some of the higher end Bay St. restaurants, its like a Unicorn and you should definitely take a ride. The only downside is that I could see how it could be noisy on busier days. We went on a Tuesday night and it was pretty noisy at 7:00pm but started to get quieter around 9pm. Other than that the ambiance is very warm and welcoming, it is a neutral meeting point for 9-5'ers, suits and creatives alike.",5.0,2015-12-09,Yelp
"This is the 2nd time we came here for the summerlicious lunch.1st time - service was fast and food was great!2nd time - service was slow and food was okay...There were 8 of us and we made reservations ahead of time.  Despite coming here on a friday, this place appeared pretty quiet and the service was quite slow.Appetizers: I got the Shrimp Gazpacho Salad - there were slivers of shrimp in a cocktail glass.  It was okay... nothing to write home about.  There was a lot of thousand island dressing on itMain: Pan Seared Trout - portions were decent but i thought the fish was kinda fishy... It also needed some lemon but there were none provided on the plate.Dessert: Chili Chocolate Pot de Creme - the chili was overpowering... everybody made a face on the first bite.  I didn't end up finishing mine as it was just a bit too strong.Ambiance - nice, dark and has a rustic feel.  They also have a patio area if you don't mind sitting on the sidewalk.... Overall: I like Reds midtown - it's less pretentious than the one in the financial district, but I like the food better at the other location.",3.0,2015-07-10,Yelp
"I'm a fan of the Reds in the financial district and last night, I found myself at the midtown location for the first time.  The service was lovely and attentive, no complaints there.  I ended up ordering off of the summerlicious menu b/c some of the offerings looked delicious.I started with the quinoa salad with apples and aged cheddar.  This was fantastic - completely exceeded my expectations.  For my main, I ordered a fried chicken dish with beet/cauliflower  salad and this spicy chili sauce.  It was SO spicy, which I enjoyed, but I can imagine it being way too hot for the average person.  The chicken was incredible.  The other 7 people at my table opted for the steak or fish, and many were jealous of my pick.  For dessert, the chocolate pot de creme with chili was a bit of a let down.  Could not taste the chili at all.I think Reds is simply a good option, anytime.  It's a great place to go if you want food that is a bit more inventive without being too out there.  I love the decor - the glass, leather and wood.  It's really pretty, but not dainty.",4.0,2015-07-09,Yelp
"Giant goblets of gin and tonic.  $8 on Friday nights.  This was a recipe for success!  I organized a social event for a large group and we sat at a table in the shape of a U.  I hate going out for dinner and sitting in a long line.  This unique set-up allowed for conversation across and between everyone.  I liked it.  The servers, Fab and Jonathan, were excellent.  Extremely attentive, friendly, and entertaining!  I couldn't have asked for more.  Thanks guys!The food was quite good and everyone was able to find something they liked.  We tried a couple of starters too, the potato flatbread and the lobster guacamole with chips.  Both were yummy.  I had the seared ahi tuna Niçoise salad.  I thought the dressing to be a bit heavy but the fish was perfection.  I wished the portion were a tad larger though.Upon making the reservation, I did ask for separate bills.  This wasn't a problem.  They even split the appetizer amongst ten people!  Impressive.  With a large party, the auto-grat was 18%. Very fair given the lovely and lively evening we had!  Thank you for making my night!",4.0,2015-04-26,Yelp
"Techno Music Disaster, I think they play the music loud so you can not hear each other complain about the over poor food and average service.  There are much better places to eat in this area.  We will not be back!",1.0,2016-09-02,Yelp
"Argh. This is sort of a bummer because I previously came to Reds for an event, really liked it (and its affiliates next door), and had put it on the office party shortlist. In the meantime, I brought someone for birthday drinks/snacks...which as you know inexplicably and inevitably causes whatever place you choose to let you down in an epic manner, causing embarrassment to all.My friend's medium-rare steak ($20) came completely overcooked (literally 100% of the outside was charred). We patiently waited for probably 20 minutes for someone to come our direction. Several servers floated by but never made eye contact or approached us before leaving again. Then they just disappeared. I finally managed to get our server's attention as she was about to walk away again. The replacement was done properly but it mystifies me why they served the burnt one in the first place.Oysters ($18) were tasty of course, but it beats me how 6 (3 of them tiny) constitute a ""shareable"".Over 2 hours, no one refilled our water. We waited for a long while (notice a pattern?) with empty glasses, then I eventually walked to the bar, grabbed a pitcher, and did it myself. Allllll night. There was no one to flag down. Ever.I would have ordered some drinks (I'd asked for water to start while we were perusing the menu), but...there was no one to flag down.The DJ was fine and this is not supposed to be a quiet venue, but the music was deafening, which made it difficult for my friend and I to converse while trying to pass the time between filling our own water glasses.It was pretty dead after the happy hour crowd left, yet service was nonexistent. By the time someone checked in with us after 9, it was time to leave, so we just got the bill.I owe my friend a make-up birthday outing. Any recommendations?",1.0,2015-04-17,Yelp
I always come by this place on my fist night visiting Toronto. Their lamb shrank is very delicious and it is well paired with the housemate mash grits I also high recommend the carrot cake ... It is so so so delicious :-),5.0,2015-05-19,Yelp
"I had lunch here on a Wednesday with a downtown friend and sat at the sidewalk tables so this is not an extensive review. The seating and service were quick and courteous. The lunch menu has the right number of choices and we both ordered burgers. The presentation was excellent and the burgers themselves were done to perfection and tasty with goodly portions of sides. Unfortunately, I couldn't partake in the adult beverages but would certainly return in the future to remedy that problem and try the indoor portion of venue which was pretty attractive at a quick glance.",4.0,2016-07-08,Yelp
I love the chicken tacos here and the seared tuna. Both aee delicious. Good central location right in the middle of downtown.  Long street partio nicely set up with flower boxes. Comfy cushion banquettes or cairs. chairs. Your choice..Fancy slick interior design. I like the place,4.0,2016-08-24,Yelp
"Calm environment but long wait for our food, by the time my food got to the table I found a small strand of hair in my chicken so the kitchen had to obviously remake it for me (which didn't end up taking that long). One thing that stood out to me was that the restaurant hired a magician and his tricks kept my friends and I busy and our attention away from how long the dinner wait time was.",2.0,2015-09-18,Yelp
I stop in here at least once every trip to t-dot.  reliable quality and nice ambiance.  a little pricey,4.0,2016-04-14,Yelp
"I've been to Reds a few times now - local for work lunches and I've never been overawed, just kinda 'meh'. This time around the food was decent enough - tandoori chicken salad - it is overpriced, but I guess that's downtown. Service was mediocre and not very flexible. As a beer drinker, the biggest problem I have with Reds is their ridiculous 14 oz 'pints' at premium price. Just offensive and smacks of an establishment that prioritizes squeezing every cent out of the customer over giving a quality drinking and dining experience.",2.0,2016-07-29,Yelp
"It was OK, I should really give it another chance.  I got the sweet potato flatbread because of all the great reviews on yelp, but it was just okay, not super fabulous or anything.  I also had the Lobster Guacamole which was okay as well.   Usually the apps are better than the mains, but these apps were just regular, nothing mind blowing.  I felt like this was just like every other chain bar/restaurant.  We were a large group and we were seated at this weird table that had a cut out in the center, I guess it's so the staff can serve each person without squeezing by, but it made it more uncomfortable for us because we couldn't yell across the tables and the gap to talk, so we would get up and walk around and cluster around the table, thus cramping the space of the poor people that were sitting at a table close to us.  I'm sure they got hit many times by both the staff and our party.",2.0,2015-05-01,Yelp
"I came here with a group of 8 women. All of us loved our meals. What impressed me even more was the service. Although our food took longer than the server would have liked, she was great with keeping us informed that the kitchen was slammed. We could see that it was, so she wasn't exaggerating in the least. On top of that, I didn't particularly enjoy my mojito. I found it a little too citrusy and the server apologized, offered to get me something and removed the drink from my bill! How's that for service! Highly recommend checking out for dinner. Especially if you're a steak and wine lover.",5.0,2015-09-01,Yelp
"We came here for Winterlicious lunch and it was a huge let down, as you would expect from a chain resto. First of all, we were automatically seated in the bar area, not even giving the option of eating in the dining area. We had reservations and it was dead. The service was very good. The water was never empty and we had several servers attend to us. The food was very basic and bland. I had beet salad, spicy shrimp & rice, and rocky road dessert. Beet salad was good and interesting, but the shrimp was something you could make at home, and the rocky road dessert was not good at all. The Good:1. Service. As I mentioned, I have no complaints about service and how fast our food came out of the kitchen.2. Decor. Quite nice decor for a chain resto, I enjoyed all the Edison bulbs.The Bad:1. Food. Very bland and not worth the price of admission.2. Selection. Was not a fan of the menu selection at this place.Recommendation: skip this place, you're not missing much!",2.0,2015-02-26,Yelp
